Linio SKU;Name;PrimaryCategory;Model;BrowseNodes;Categories;Brand;SaleEndDate;SaleStartDate;SalePrice;Price;ParentSku;Quantity;ProductWarranty;PackageContent;Color;ProductId;ShortDescription;Description;EligibleFreeShipping;DeliveryTimeSupplier;WarehouseProcessingTime;PackageWidth;PackageLength;PackageHeight;PackageWeight;ProductMeasures;ProductWeight;TaxClass;SellerSku;Variation;CareLabel;ManufacturerTxt;MaterialFamily;MainMaterial;CreatedAt;UpdatedAt;Status
MI130EL0NFG8ILACL-6410122;Marco de foto Laqueado Paspartú;20056;;;;Mica;;;;4790.00;880743182;0;;;;2998807431821;;1234567890;;2;;10;20;30;0.5;;;IVA 19%;880743182;…;;;;;2019-02-13 17:49:41;2019-10-15 08:43:12;inactive
NI053EL0ZC4C2LACL-6410123;Nintendo Switch + Juego Zelda + Polera;20056;;;;Nintendo;;;;167800.00;6050217;0;;;;7453024543108;;<ul><li>Tipo:Nintendo Switch</li><li>Procesador:Nvidia Tegra</li><li>Entradas USB:3</li><li>Entradas HDMI:1</li><li>Conectividad:WiFi/Bluetooth</li><li>Modelo:Switch¿ with Gray Joy-Con¿ + Legend of Zelda: Breath of the Wild + Polera Zelda</li><li>Hecho en:China</li><li>Garantía del proveedor:3 MESES</li><li>Capacidad de almacenamiento:32GB</li></ul>;;2;;44;41;54;4;;;IVA 19%;6050217;...;;;;;2019-02-13 17:49:41;2019-10-15 08:53:35;inactive
KA516EL15AGDULACL-6410125;Total Security Edición Latina - 10 Dispositivos - 3 Años;20056;;;;KASPERSKY;;;;294990.00;6884941;0;;;;2006884941000;<ul><li>Tipo:Antivirus y seguridad</li><li>Compatible con:Microsoft Windows</li><li>Formato:Código de activación</li><li>Modelo:KTS LATAM 10Dvc 3Account KPM 1Account KSK 3Y Bs DnP</li><li>Número máximo de usuarios:3</li><li>Número máximo de dispositivos:10 o más</li><li>Actualizaciones incluidas:Sí</li></ul>;<ul><li>Tipo:Antivirus y seguridad</li><li>Compatible con:Microsoft Windows</li><li>Formato:Código de activación</li><li>Modelo:KTS LATAM 10Dvc 3Account KPM 1Account KSK 3Y Bs DnP</li><li>Número máximo de usuarios:3</li><li>Número máximo de dispositivos:10 o más</li><li>Actualizaciones incluidas:Sí</li></ul>;;2;;8;28;40;0.1;;;IVA 19%;6884941;...;;;;;2019-02-13 17:49:41;2019-10-15 08:56:09;inactive
GE018EL1B8SFMLACL-6410126;Cable Armado de Parlante 6;20056;;;;Generico;;;;12990.00;5437994;0;;;;7798130903294;<ul><li>Modelo:SBC-166</li><li>Tipo:Otros</li><li>Largo:1000 cm</li><li>Garantía del proveedor:6 meses</li></ul>;<ul><li>Modelo:SBC-166</li><li>Tipo:Otros</li><li>Largo:1000 cm</li><li>Garantía del proveedor:6 meses</li></ul>;;2;;28;10;40;0.1;;;IVA 19%;5437994;...;;;;;2019-02-13 17:49:41;2019-10-15 09:45:17;inactive
AC428EL11HG78LACL-6378162;"Notebook Acer A314-31-C0LU, Intel Celeron, Windows 10, 4GB, HDD 500GB de 14""";20056;6281292;;;Acer;2018-12-31 00:00:00;2018-10-26 00:00:00;199990.00;229990.00;6281292;0;12 meses;TRADICIONAL NOTEBOOK;;4713883482714;<ul> <li>Procesador: Intel Celeron</li> <li>Modelo del procesador: N3350</li> <li>Memoria RAM: 4GB</li> <li>Tarjeta de video</li> <li>Tipo de pantalla: LCD</li> <li>Resolución de la pantalla: WXGA (1366x768)</li> <li>Pantalla Touch: No</li> <li>Modelo tarjeta de video: Intel HD Graphics</li> <li>Sistema de audio: Stereo</li> <li>Entradas HDMI: 1</li> <li>Entradas USB: 3</li> <li>Disco duro HDD: 500GB</li> <li>Núcleos del procesador: Dual Core</li> <li>Velocidad del procesador: 1.1 GHz</li> </ul>;"<h2>Notebook Acer A314-31-C0LU Intel Celeron Windows 10 RAM 4GB DD 500GB 14""</h2> <p>Si lo tuyo es la tecnolog&iacute;a, disfruta de lo mejor que &eacute;sta te brinda. Con la nueva <strong>Notebook Acer A314-31-C0LU</strong>, tendr&aacute;s en tus manos un computador de excelente calidad que combina a la perfecci&oacute;n dise&ntilde;o con un&nbsp;<strong>incre&iacute;ble rendimiento</strong>. Vive una gran experiencia multimedia con todas las caracter&iacute;sticas que te ofrece. No pierdas la oportunidad de llevar un Notebook que se convertir&aacute; en tu <strong>compa&ntilde;ero ideal</strong>.</p> <p>Su r&aacute;pida interfaz te permite compartir cosas con tus amigos al instante. Busca en las aplicaciones, en los documentos y en Internet de una forma r&aacute;pida y sencilla. Con&nbsp;<strong>Windows 10</strong>&nbsp;puedes realizar cualquier tarea habitual desde los bordes y esquinas hasta tareas mucho m&aacute;s complejas pero con f&aacute;cil acceso. El <strong>dise&ntilde;o</strong> de la <strong>Notebook Acer A314-31-C0LU</strong>&nbsp;es ideal para tu entretenimiento, ya que puedes ver una pel&iacute;cula, enterarte de las noticias m&aacute;s recientes y procesar r&aacute;pidamente tu lista de tareas pendientes. Puedes pasar de un juego en pantalla completa a un correo electr&oacute;nico con solo tocar y arrastrar el dedo, o ver las dos cosas en paralelo.</p>";;2;;11.5;17.5;30;4.7;;;IVA 19%;6281292;…;;;;;2019-02-13 17:49:41;2019-10-15 09:13:03;inactive
UR938EL17FS90LACL-6378163;Audífono Urban Designs Inalámbrico Sports X2-Rosado;20056;Audifono Inalambrico Sports X2 Rosado;;;Urban Designs;;;;9990.00;6778504;0;3 meses;Audífono Inalámbrico Sports X2 Rosado;;1009201800029;<ul><li>Modelo:Audifono Inalambrico Sports X2 Rosado</li><li>Tipo:Audífonos deportivos</li><li>Potencia:5V</li><li>Material de la almohadilla:Sintético</li><li>Compatibilidad:Universal</li><li>Conectividad:Bluetooth</li><li>Conexión Bluetooth:Sí</li><li>Entradas auxiliares de 3.5 mm:No incluye</li><li>Hecho en:China</li><li>Garantía del proveedor:3 meses</li></ul>;"<h2 style=""text-align: center;"">Aud&iacute;fono Urban Designs Inal&aacute;mbrico Sports X2-Rosado</h2><p>&nbsp;</p><p style=""text-align: justify;"">Si te gusta vivir la <strong>m&uacute;sica</strong> al m&aacute;ximo y disfrutar de un sonido de calidad, hoy te traemos lo mejor en <strong>aud&iacute;fonos</strong> para escuchar tus melod&iacute;as favoritas de la forma que mereces escucharla, descubre el sonido de la m&uacute;sica actual, con lo m&aacute;s innovador en aud&iacute;fonos.</p><br /><p>&nbsp;</p><br /><h3 style=""text-align: center;"">&iexcl;Empieza a disfrutar la m&uacute;sica!</h3><br /><p>&nbsp;</p><br /><p style=""text-align: justify;"">Excelencia en sonido, estos nuevos <strong>aud&iacute;fonos</strong> fabricados con lo &uacute;ltimo en tecnolog&iacute;a poseen un perfecto ajuste al momento de disfrutar de ellos, adem&aacute;s de poseer un sistemas de audio completo que te permite apreciar cada sonido de todos los g&eacute;neros que m&aacute;s te gustan. Vive una experiencia &uacute;nica donde quieras y cuando quieras.</p>";;2;;25;50;33;0.15;25x33x50;0.15;IVA 19%;6778504;…;;;;;2019-02-13 17:49:41;2019-10-15 09:22:12;inactive
LG051EL1DE4ASLACL-6378164;LED 75' 75SK8000 4K Ultra HD Smart TV;20056;75SK8000;;;LG;2018-12-31 00:00:00;2018-10-26 00:00:00;1699990.00;1799990.00;6422384;0;3 meses;Televisores;;8806098181803;<ul><li>Modelo: 75SK8000</li><li>Procesador: Quad core</li><li>Entradas VGA: Sin entradas</li><li>Entradas RCA: 1</li><li>Sintonizador digital: Sí</li><li>Conexión WiFi: Sí</li><li>Resolución: 4K Ultra HD</li><li>Potencia de los parlantes: 20 W</li><li>Pe</li></ul>;"<iframe src=""https://www.youtube.com/embed/0r0CMbu4PSo"" frameborder=""0""></iframe> <h3 class=""fb-cpy-bold"">Nano Cell Display</h3> <p>Disfruta los colores de la pantalla Nano Cell de LG. Tecnolog&iacute;a de vanguardi</p>";;2;;130;100;200;45;;;IVA 19%;6422384;…;;;;;2019-02-13 17:49:41;2019-10-15 09:38:20;inactive
SO036EL1JCGCKLACL-6378165;Soporte de Cámaras Sony VCT-R100;20056;VCT-R100;;;Sony;;;;34990.00;5017825;0;3 meses;Soportes;;4901780986453;<ul><li>Marca: Sony</li><li>Compatibilidad: Cybetshot/Alpha/Action Cam/Camcorder</li><li>Material: Aluminio</li><li>Garantía del proveedor: 3 meses</li><li>Modelo: VCT-R100</li><li>Tipo: Soportes de cámaras</li><li>Peso: 0,66 kg</li></ul>;"<h2>CARACTER&iacute;STICAS DEL PRODUCTO</h2><ul><li>Marca: Sony</li><li>Modelo: VCT-R100</li><li>Tipo: Soportes de c&aacute;maras</li><li>Peso: 0,66 kg</li><li>Compatibilidad: Cybetshot/Alpha/Action Cam/Camcorder</li><li>Material: Aluminio</li>Garant&iacute;a del proveedor<li>3 meses</li></ul>";;2;;33;20;13;3;;;IVA 19%;5017825;…;;;;;2019-02-13 17:49:41;2019-10-15 09:02:06;inactive
YA973EL1H74HELACL-6410127;Bajo Trbx174 Rojo Met;20056;;;;Yamaha;;;;209990.00;6007733;0;;;;86792981727;;1234567890;;2;;60;95;30;4;;;IVA 19%;6007733;…;;;;;2019-02-13 17:49:41;2019-10-15 08:47:29;inactive
SO036EL1N5GJ6LACL-6410128;Lente Alpha E SEL55210;20056;;;;Sony;;;;279990.00;5262143;0;;;;4905524958706;;1234567890;;2;;8;28;40;0.55;;;IVA 19%;5262143;…;;;;;2019-02-13 17:49:41;2019-10-15 09:16:05;inactive
